8377,8277,26,3.85
8277,8177,51,4.03
8377,8378,71,7.75
8277,8278,72,7.47
8378,8379,86,6.94
8278,8279,87,6.74
8177,8178,87,3.56
8379,8380,101,6.83
8178,8179,120,3.11
8279,8280,123,3.09
8380,8381,134,3.25
8280,8281,136,7.88
8281,8282,149,8.23
8179,8180,153,3.13
8381,8382,164,3.41
8180,8181,166,7.98
8282,8283,175,3.99
8382,8383,176,8.61
8181,8182,178,8.78
8177,8078,188,1.13
8283,8284,193,5.84
8383,8384,198,4.58
8284,8285,199,17.42
8182,8183,202,4.21
8183,8184,205,39.37
8285,8286,205,19.01
8384,8385,205,16.35
8286,8287,209,28.17
8184,8185,211,18.05
8385,8386,211,18.79
8287,8288,214,23.99
8386,8387,216,21.72
8185,8186,218,16.33
8178,8079,218,1.19
8186,8187,221,34.34
8387,8388,222,18.32
8187,8188,225,32.23
8288,8289,230,6.34
8380,8481,231,1.08
8289,8290,235,24.22
8290,8291,238,35.02
8188,8189,239,7.31
8291,8292,240,54.3
8388,8389,241,6.01
8292,8293,242,58.34
8481,8482,244,7.77
8183,8084,244,2.67
8293,8294,245,44.5
8389,8390,245,28.11
8390,8391,248,46.17
8084,8085,248,25.74
8391,8392,250,68.99
8179,8080,251,0.89
8392,8393,253,44.53
8294,8295,254,11.96
8295,8296,257,44.28
8482,8483,257,7.83
8189,8190,258,5.4
8296,8297,260,36.6
8393,8394,260,14.66
8190,8191,261,34.96
8085,8086,261,7.92
8294,8395,262,8.44
8297,8298,263,39.91
8191,8192,264,35.16
8395,8396,265,38.7
8080,8081,265,7.27
8294,8195,265,7.29
8298,8299,266,46.43
8192,8193,267,49.63
8086,8087,267,18.33
8193,8194,269,77.05
8396,8397,269,26.5
8195,8196,270,24.74
8393,8494,270,8.35
8389,8490,270,4.97
8196,8197,273,43.7
8397,8398,273,25.73
8494,8495,274,32.76
8087,8088,275,12.61
8197,8198,276,37.62
8490,8491,276,19.52
8378,8479,276,0.74
8398,8399,277,27.97
8198,8199,279,34.94
8495,8496,280,17.93
8393,8493,281,3.68
8084,7985,281,3.85
8199,8200,282,35.32
8491,8492,283,15.77
8483,8484,283,3.96
8177,8077,283,0.29
8484,8485,287,31.52
8496,8497,287,14.63
8377,8478,288,0.66
8088,8089,289,7.25
8479,8480,290,7.58
8089,8090,292,34.25
7985,7986,292,9.17
8495,8596,293,7.62
8081,8082,293,3.6
8397,8498,295,5.47
8082,8083,297,26.25
8496,8597,297,8.36
8299,8300,297,3.24
7986,7987,299,16.35
8195,8096,301,0.4
8389,8489,306,2.49
8096,8095,309,13.95
8389,8488,310,9.85
8492,8593,311,1.2
8492,8591,312,9.64
8398,8499,314,0.51
8496,8595,316,6.09
8488,8487,317,15.64
8095,8094,317,13.21
8495,8594,317,5.95
8591,8590,319,15.59
8593,8592,319,13.74
8484,8583,320,6.65
8177,8176,320,2.69
8190,8091,321,1.42
8489,8588,324,7.89
8094,8093,325,13.52
8488,8587,325,9.65
8377,8376,325,2.73
8590,8589,326,15.51
8591,8690,327,9.83
8277,8276,328,2.55
8587,8586,332,15.51
8093,8092,333,13.55
7987,7886,333,4.29
8690,8689,334,15.57
8593,8692,335,5.98
7985,7984,335,2.85
7987,7988,336,1.4
8089,7988,336,3.76
8095,7994,337,5.24
8595,8694,338,6.47
8586,8585,339,15.67
8588,8687,339,9.53
8478,8477,339,2.57
8587,8686,340,10.01
8077,8076,341,2.42
7984,7983,342,14.96
8690,8789,342,9.88
7886,7885,343,10.33
7994,7993,345,13.28
8592,8691,345,5.5
8585,8584,346,15.66
8686,8685,347,15.49
8095,7995,347,2.7
7987,7887,349,2.04
7983,7982,350,13.83
7993,7992,352,15.36
8089,7989,353,1.73
7885,7884,354,9.83
8686,8785,355,10.05
8585,8684,355,9.06
8487,8486,355,2.66
7886,7785,356,6.33
7982,7981,358,13.7
8376,8375,358,3.06
8583,8582,358,2.68
7992,7991,359,15.66
7886,7786,359,3.94
8176,8175,359,2.63
7884,7883,361,20.25
