simulation,ignition,weather
62,740,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather113.csv
63,8824,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather125.csv
64,1993,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather79.csv
65,4544,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather66.csv
66,1534,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather57.csv
67,4529,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather16.csv
68,3418,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather73.csv
69,3471,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather110.csv
70,8876,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather58.csv
71,3106,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather3.csv
72,4353,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather67.csv
73,2531,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather112.csv
74,477,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather13.csv
75,4211,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather115.csv
76,8131,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather1.csv
77,7205,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather93.csv
78,430,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather93.csv
79,5602,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather102.csv
80,256,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather10.csv
81,3402,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather107.csv
82,2846,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather14.csv
83,9248,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather94.csv
84,9548,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather9.csv
85,3298,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather95.csv
86,7137,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather92.csv
87,5268,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather62.csv
88,8619,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather35.csv
89,1835,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather52.csv
90,1575,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather24.csv
91,5653,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather103.csv
92,2350,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather22.csv
93,4479,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather89.csv
94,162,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather60.csv
95,5667,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather23.csv
96,74,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather88.csv
97,7786,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather61.csv
98,6192,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub100/Weathers/Weather101.csv
