4904,4903,11,8.5
4903,4902,15,29.07
4902,4901,19,32.03
4903,5002,20,15.88
5002,5001,23,34.94
4903,4802,26,9.49
4903,5003,29,5.74
4802,4801,30,30.06
5002,5101,31,13.31
4903,4803,35,4.27
5003,5102,39,15.27
4802,4701,42,9.06
5003,5103,49,5.15
5102,5201,51,12.64
4802,4702,52,4
4903,5004,54,3.3
5103,5202,60,13.74
4903,4804,60,2.9
4701,4601,66,1.98
4702,4602,100,1.77
5202,5301,101,3.52
5103,5203,103,1.3
4802,4703,110,1.01
5003,5104,119,0.88
4601,4501,120,1.87
5203,5302,139,4.51
5301,5401,164,1.68
5203,5303,179,1.38
4702,4603,183,1.04
5303,5402,184,37.25
5402,5501,189,32.64
5103,5204,189,1.8
4601,4502,197,1.23
5303,5403,211,3.27
5402,5502,215,3.29
5502,5601,217,78.16
5204,5304,220,3.29
5004,5005,232,0.65
5502,5602,236,4.82
5004,5105,240,1.09
4502,4401,242,57.34
5403,5503,248,0.65
4603,4503,248,6.94
4502,4402,250,6.96
4401,4301,253,9.63
4803,4704,254,1.19
5602,5701,264,0.73
4301,4201,265,8.79
5004,4905,265,1.18
4704,4604,272,5.83
4503,4403,275,3.75
4402,4302,277,3.75
4403,4303,290,6.83
4604,4504,290,5.57
4603,4504,290,2.06
4201,4101,292,3.75
4905,4805,292,3.74
5304,5404,294,0.65
4303,4202,295,28.45
5104,5205,310,0.62
5502,5603,342,0.79
4202,4102,355,1.25
5603,5702,361,119.63
5702,5801,363,118.74
5404,5504,370,3.3
5205,5305,374,3.28
4303,4203,374,0.58
4504,4404,376,0.58
5603,5703,385,3.3
4101,4001,386,0.58
5703,5802,387,107.24
5802,5901,389,118.97
4805,4705,389,0.58
5504,5604,401,3.29
5005,5006,402,0.58
5305,5405,405,3.29
5105,5106,410,0.58
5901,6001,414,4.15
5703,5803,418,3.06
5803,5902,420,119.37
5802,5902,420,3.05
4704,4605,422,0.5
5005,4906,427,0.52
5105,5206,436,0.71
6001,6101,444,2.75
5604,5704,445,1.53
5405,5505,454,1.53
4403,4304,454,0.55
6101,6201,478,2.98
4504,4505,478,0.52
