simulation,ignition,weather
63,1187,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather104.csv
64,1113,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather8.csv
65,873,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather8.csv
66,1280,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather9.csv
67,1435,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather64.csv
68,434,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather88.csv
69,486,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather23.csv
70,600,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather61.csv
71,1206,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather112.csv
72,558,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather126.csv
73,1400,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather50.csv
74,646,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather50.csv
75,344,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather27.csv
76,1274,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather126.csv
77,777,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather99.csv
78,871,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather73.csv
79,1503,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather112.csv
80,540,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather82.csv
81,651,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather62.csv
82,1526,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather93.csv
83,1542,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather96.csv
84,1209,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather28.csv
85,114,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather47.csv
86,1501,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather97.csv
87,211,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather6.csv
88,1387,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather7.csv
89,1091,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather34.csv
90,883,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather60.csv
91,1597,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather80.csv
92,624,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather42.csv
93,515,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather68.csv
94,588,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather36.csv
95,920,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather104.csv
96,976,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather37.csv
97,1416,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather37.csv
98,1418,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather17.csv
99,379,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather83.csv
100,270,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather66.csv
101,317,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather89.csv
102,1228,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather52.csv
103,945,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather53.csv
104,674,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather62.csv
105,649,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather69.csv
106,1306,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather43.csv
107,1229,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather1.csv
108,1102,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather123.csv
109,523,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather66.csv
110,232,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather106.csv
111,1036,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather35.csv
112,485,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather77.csv
113,259,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather7.csv
114,1313,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather71.csv
115,793,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather10.csv
116,775,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather8.csv
117,217,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather47.csv
118,918,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather7.csv
119,1279,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather127.csv
120,986,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather64.csv
121,656,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather16.csv
122,1249,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather12.csv
123,653,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather100.csv
124,398,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather84.csv
125,1201,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather85.csv
126,1488,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather53.csv
127,1162,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather36.csv
128,1163,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather74.csv
129,449,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather60.csv
130,808,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather5.csv
131,1285,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather85.csv
132,1282,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather55.csv
133,882,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather104.csv
134,1424,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather122.csv
135,1481,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather103.csv
136,562,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather48.csv
137,1393,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather24.csv
138,157,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather69.csv
139,1088,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather121.csv
140,1009,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather98.csv
141,1371,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather21.csv
142,687,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather121.csv
143,513,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather96.csv
144,1557,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather102.csv
145,1164,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather64.csv
146,888,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather109.csv
147,22,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather9.csv
148,1574,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather43.csv
149,518,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather31.csv
150,1025,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather65.csv
151,623,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather42.csv
152,1022,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather1.csv
153,1345,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather86.csv
154,699,/Users/matiasvilches/Documents/F2A/papers/two_stage/forest/sub40/Weathers/Weather36.csv
