6463,6362,7,19.14
6362,6261,15,18.88
6463,6462,15,6.59
6261,6160,23,18.78
6462,6361,23,18.77
6362,6361,23,6.55
6361,6260,31,18.69
6261,6260,31,6.54
6462,6461,31,6.54
6361,6360,39,6.52
6463,6363,51,1.94
6363,6262,58,21.99
6262,6161,65,18.24
6461,6460,73,3.27
6161,6060,79,10.69
6060,5959,87,18.5
6262,6162,95,2.7
6463,6562,100,1.55
6162,6061,103,18.27
6363,6263,104,1.84
6562,6561,111,9.9
6060,5960,116,2.77
5959,5958,122,13.94
6561,6560,128,9.17
5958,5957,130,14.14
6162,6062,131,3.14
5957,5956,136,18.43
6263,6163,139,3.04
5956,5955,141,24.34
6463,6563,141,0.83
5955,5954,144,35.61
6062,5961,144,11.43
5954,5953,147,40.95
5956,6055,147,14.14
5956,6056,149,7.77
5953,5952,150,41.53
6055,6054,150,34.62
5955,5854,151,15.64
6054,6053,153,40.83
5854,5853,154,38
5853,5852,157,40.22
6053,6052,158,21.11
5952,5951,159,12.05
6055,6154,160,10.99
5854,5753,161,14.77
5951,5950,162,40.88
5956,6057,162,5.52
6062,5962,162,3.31
6154,6153,165,20.78
5853,5752,165,13.92
5852,5851,166,11.99
6052,6051,167,12.05
5752,5751,168,40.05
5851,5850,169,39.51
6055,6155,169,4.71
6153,6152,170,21.15
6562,6661,171,2.21
5950,5949,172,11.04
6661,6660,175,27.69
6152,6151,175,21.46
6051,6050,176,11.92
5851,5750,176,14.19
5752,5651,176,13.99
5951,6050,176,8.76
5850,5849,179,10.96
6151,6150,180,20.75
6263,6264,182,2.11
5949,5948,183,7.13
6162,6063,183,2.65
5961,5860,184,2.78
5651,5650,185,11.16
6563,6662,185,4
6050,6049,186,9.84
5750,5749,187,7.3
6055,6156,187,5.62
6263,6164,189,2.5
6150,6149,190,10.53
5849,5848,191,8.76
5854,5755,193,4.81
6263,6364,195,2.4
5948,5947,196,8.3
6049,6048,197,9.39
5749,5748,198,9.1
6062,5963,198,2.85
6463,6464,198,0.47
5650,5649,199,7.62
6154,6253,199,4.13
6149,6148,200,10.51
6153,6252,203,4.11
5848,5847,204,7.94
6155,6254,204,4.32
5752,5653,205,4.25
5947,5946,206,10.1
6048,6047,207,10.86
6152,6251,207,4.1
6148,6147,209,11.56
