fueltype,lat,lon,elev,ws,waz,ps,saz,cur,cbd,cbh,ccf,ftypeN,fmc,py,jd,jd_min,pc,pdf,time,ffmc,bui,gfl,pattern,
NF,51.621244,-115.608378,2233.000000,,,18.000000,206.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2196.000000,,,12.000000,204.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2179.000000,,,6.000000,56.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2188.000000,,,15.000000,17.000000,,,,,101,,,,,,,20,,,nan,,
O1a,51.621244,-115.608378,2395.000000,,,60.000000,347.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2399.000000,,,55.000000,334.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2404.000000,,,40.000000,328.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2403.000000,,,24.000000,315.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2397.000000,,,11.000000,272.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2383.000000,,,13.000000,207.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2367.000000,,,24.000000,142.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2363.000000,,,67.000000,111.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2372.000000,,,80.000000,108.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2380.000000,,,41.000000,120.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2387.000000,,,20.000000,142.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2386.000000,,,23.000000,123.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2379.000000,,,22.000000,116.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2369.000000,,,13.000000,113.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2351.000000,,,13.000000,86.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2324.000000,,,15.000000,83.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2287.000000,,,9.000000,164.000000,60,,,,31,,,,,,,20,,,0.350000,,
NF,51.621244,-115.608378,2258.000000,,,21.000000,210.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2257.000000,,,16.000000,213.000000,,,,,101,,,,,,,20,,,nan,,
NF,51.621244,-115.608378,2264.000000,,,4.000000,209.000000,,,,,101,,,,,,,20,,,nan,,
O1a,51.621244,-115.608378,2375.000000,,,15.000000,334.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2379.000000,,,11.000000,286.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2384.000000,,,11.000000,221.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2390.000000,,,17.000000,198.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2392.000000,,,19.000000,190.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2391.000000,,,17.000000,188.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2385.000000,,,27.000000,132.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2373.000000,,,72.000000,109.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2370.000000,,,77.000000,109.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2374.000000,,,35.000000,123.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2377.000000,,,17.000000,147.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2378.000000,,,20.000000,126.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2373.000000,,,17.000000,117.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2366.000000,,,9.000000,115.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2352.000000,,,9.000000,103.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2335.000000,,,15.000000,86.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2325.000000,,,14.000000,94.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2318.000000,,,12.000000,190.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2317.000000,,,24.000000,211.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2323.000000,,,23.000000,197.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2351.000000,,,16.000000,185.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2355.000000,,,18.000000,189.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2362.000000,,,18.000000,191.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2370.000000,,,15.000000,195.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2375.000000,,,14.000000,199.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2380.000000,,,13.000000,191.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2384.000000,,,28.000000,122.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2376.000000,,,73.000000,103.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2366.000000,,,69.000000,101.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2363.000000,,,25.000000,111.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2367.000000,,,12.000000,130.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2369.000000,,,18.000000,120.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2366.000000,,,15.000000,129.000000,60,,,,31,,,,,,,20,,,0.350000,,
O1a,51.621244,-115.608378,2360.000000,,,10.000000,138.000000,60,,,,31,,,,,,,20,,,0.350000,,
